Scenario,Time_to_25%_Settle (min),Time_to_50%_Settle (min),Time_to_75%_Settle (min),Time_to_90%_Settle (min),Time_to_100%_Settle (min)
base,7.572486111111112,9.5315,11.02239,12.741423333333334,24.06016888888889
malicious,7.765867222222222,9.290453333333334,11.741603333333334,16.361819444444443,27.71393111111111
malicious2,12.147575,15.274165555555555,17.48498563218391,19.492952777777777,28.98136091954023
malicious3,15.762466111111111,24.222764444444447,42.88438611111111,59.62613944444445,
