NodeID, HashPower (GH/s), ElectricPower (W), ElectricityCost (USD/kWh)
1,379567877600,1383.9736,0.10751399
2,76992736000,1358.4988,0.15108661
3,49982169600,1358.4988,0.15108661
4,16211073000,1358.4988,0.15108661
5,16211073000,1358.4988,0.15108661
6,6752641600,1358.4988,0.15108661
7,6752641600,1358.4988,0.15108661
8,4054740400,1358.4988,0.15108661
9,1348950600,1358.4988,0.15108661
10,230986096600,1358.4988,0.15108661
