NodeID, HashPower (GH/s), ElectricPower (W), ElectricityCost (USD/kWh)
1,379567877600,1383.9736,0.10751399
2,131029646000,1387.8018,0.12974991
3,99956450600,1358.4988,0.15108661
4,76992736000,1358.4988,0.15108661
5,49982169600,1358.4988,0.15108661
6,16211073000,1358.4988,0.15108661
7,16211073000,1358.4988,0.15108661
8,6752641600,1358.4988,0.15108661
9,6752641600,1358.4988,0.15108661
10,4054740400,1358.4988,0.15108661
11,1348950600,1358.4988,0.15108661
