NodeID, HashPower (GH/s), ElectricPower (W), ElectricityCost (USD/kWh)
1,377539929328,1383.9736,0.10751399
2,128093904593,1387.8018,0.12974991
3,98430053003,1358.4988,0.15108661
4,82249770318,1358.4988,0.15108661
5,33708922261,1358.4988,0.15108661
6,12135212014,1358.4988,0.15108661
7,10786855123,1358.4988,0.15108661
8,9438498233,1358.4988,0.15108661
9,6741784452,1358.4988,0.15108661
10,2696713780,1358.4988,0.15108661
11,1348356890,1358.4988,0.15108661
